Time (s), Position (m)_1, Position (m)_2, Velocity (m/s)_1, Velocity (m/s)_2, Force (N)_1, Force (N)_2, InteractionForce (N)_1, InteractionForce (N)_2, StateCode, Phase, Trial, TargetX (m), TargetHalfWidth (m)
Time (s), Position (m)_1, Position (m)_2, Velocity (m/s)_1, Velocity (m/s)_2, Force (N)_1, Force (N)_2, InteractionForce (N)_1, InteractionForce (N)_2, StateCode, Phase, Trial, TargetX (m), TargetHalfWidth (m)
0.022674, -0.077366, -0.113480, 0.000000, 0.000000, 0.000000, 0.344366, nan, nan, 0.000000, 0.000000, 1.000000, 0.000000, 0.000000
0.024672, -0.077366, -0.113480, 0.000000, 0.000000, 0.344366, 0.344366, nan, nan, 0.000000, 0.000000, 1.000000, 0.000000, 0.000000
0.026671, -0.077366, -0.113480, 0.000000, 0.000000, 0.344366, 0.344366, nan, nan, 0.000000, 0.000000, 1.000000, 0.000000, 0.000000
0.028671, -0.077366, -0.113480, 0.000000, 0.000000, 0.344366, 0.344366, nan, nan, 0.000000, 0.000000, 1.000000, 0.000000, 0.000000
0.030671, -0.077366, -0.113480, 0.000000, 0.000000, 0.000000, 0.344366, nan, nan, 0.000000, 0.000000, 1.000000, 0.000000, 0.000000
0.032672, -0.077366, -0.113480, 0.000000, 0.000000, 0.344366, 0.344366, nan, nan, 0.000000, 0.000000, 1.000000, 0.000000, 0.000000
0.034672, -0.077366, -0.113480, 0.000000, 0.000000, 0.000000, 0.344366, nan, nan, 0.000000, 0.000000, 1.000000, 0.000000, 0.000000
0.036674, -0.077366, -0.113480, 0.000000, 0.000000, 0.344366, 0.344366, nan, nan, 0.000000, 0.000000, 1.000000, 0.000000, 0.000000
0.038673, -0.077366, -0.113480, 0.000000, 0.000000, 0.344366, 0.344366, nan, nan, 0.000000, 0.000000, 1.000000, 0.000000, 0.000000
0.040673, -0.077366, -0.113480, 0.000000, 0.000000, 0.344366, 0.344366, nan, nan, 0.000000, 0.000000, 1.000000, 0.000000, 0.000000
0.042674, -0.077366, -0.113480, 0.000000, 0.000000, 0.344366, 0.344366, nan, nan, 0.000000, 0.000000, 1.000000, 0.000000, 0.000000
0.044674, -0.077366, -0.113480, 0.000000, 0.000000, 0.344366, 0.344366, nan, nan, 0.000000, 0.000000, 1.000000, 0.000000, 0.000000
0.046673, -0.077366, -0.113480, 0.000000, 0.000000, 0.344366, 0.344366, nan, nan, 0.000000, 0.000000, 1.000000, 0.000000, 0.000000
0.048673, -0.077366, -0.113480, 0.000000, 0.000000, 0.000000, 0.344366, nan, nan, 0.000000, 0.000000, 1.000000, 0.000000, 0.000000
0.050673, -0.077366, -0.113480, 0.000000, 0.000000, 0.344366, 1.033098, nan, nan, 0.000000, 0.000000, 1.000000, 0.000000, 0.000000
0.052675, -0.077366, -0.113480, 0.000000, 0.000000, 0.344366, 0.344366, nan, nan, 0.000000, 0.000000, 1.000000, 0.000000, 0.000000
0.054677, -0.077366, -0.113480, 0.000000, 0.000000, 0.344366, 0.344366, nan, nan, 0.000000, 0.000000, 1.000000, 0.000000, 0.000000
0.056677, -0.077366, -0.113480, 0.000000, 0.000000, 0.344366, 0.344366, nan, nan, 0.000000, 0.000000, 1.000000, 0.000000, 0.000000
0.058676, -0.077366, -0.113480, 0.000000, 0.000000, 0.000000, 0.344366, nan, nan, 0.000000, 0.000000, 1.000000, 0.000000, 0.000000
0.060675, -0.077366, -0.113480, 0.000000, 0.000000, 0.344366, 0.688732, nan, nan, 0.000000, 0.000000, 1.000000, 0.000000, 0.000000
0.062676, -0.077366, -0.113480, 0.000000, 0.000000, 0.000000, 0.344366, nan, nan, 0.000000, 0.000000, 1.000000, 0.000000, 0.000000
0.064676, -0.077366, -0.113480, 0.000000, 0.000000, 0.344366, 0.344366, nan, nan, 0.000000, 0.000000, 1.000000, 0.000000, 0.000000
0.066676, -0.077366, -0.113480, 0.000000, 0.000000, 0.000000, 0.344366, nan, nan, 0.000000, 0.000000, 1.000000, 0.000000, 0.000000
0.068681, -0.077366, -0.113480, 0.000000, 0.000000, 0.344366, 0.344366, nan, nan, 0.000000, 0.000000, 1.000000, 0.000000, 0.000000
0.070678, -0.077366, -0.113480, 0.000000, 0.000000, 0.344366, 0.344366, nan, nan, 0.000000, 0.000000, 1.000000, 0.000000, 0.000000
0.072678, -0.077366, -0.113480, 0.000000, 0.000000, 0.000000, 0.344366, nan, nan, 0.000000, 0.000000, 1.000000, 0.000000, 0.000000
0.074678, -0.077366, -0.113480, 0.000000, 0.000000, 0.344366, 0.344366, nan, nan, 0.000000, 0.000000, 1.000000, 0.000000, 0.000000
0.076678, -0.077366, -0.113480, 0.000000, 0.000000, 0.344366, 0.344366, nan, nan, 0.000000, 0.000000, 1.000000, 0.000000, 0.000000
0.078678, -0.077366, -0.113480, 0.000000, 0.000000, 0.344366, 0.344366, nan, nan, 0.000000, 0.000000, 1.000000, 0.000000, 0.000000
0.080678, -0.077366, -0.113480, 0.000000, 0.000000, 0.344366, 0.344366, nan, nan, 0.000000, 0.000000, 1.000000, 0.000000, 0.000000
0.082678, -0.077366, -0.113480, 0.000000, 0.000000, 0.000000, 0.344366, nan, nan, 0.000000, 0.000000, 1.000000, 0.000000, 0.000000
0.084678, -0.077366, -0.113480, 0.000000, 0.000000, 0.000000, 0.344366, nan, nan, 0.000000, 0.000000, 1.000000, 0.000000, 0.000000
0.086679, -0.077366, -0.113480, 0.000000, 0.000000, 0.344366, 1.033098, nan, nan, 0.000000, 0.000000, 1.000000, 0.000000, 0.000000
0.088680, -0.077366, -0.113480, 0.000000, 0.000000, 0.000000, 0.344366, nan, nan, 0.000000, 0.000000, 1.000000, 0.000000, 0.000000
0.090680, -0.077366, -0.113480, 0.000000, 0.000000, 0.344366, 0.344366, nan, nan, 0.000000, 0.000000, 1.000000, 0.000000, 0.000000
0.092679, -0.077366, -0.113480, 0.000000, 0.000000, 0.000000, 1.033098, nan, nan, 0.000000, 0.000000, 1.000000, 0.000000, 0.000000
0.094679, -0.077366, -0.113480, 0.000000, 0.000000, 0.344366, 0.344366, nan, nan, 0.000000, 0.000000, 1.000000, 0.000000, 0.000000
0.096679, -0.077366, -0.113480, 0.000000, 0.000000, 0.344366, 0.344366, nan, nan, 0.000000, 0.000000, 1.000000, 0.000000, 0.000000
0.098680, -0.077366, -0.113480, 0.000000, 0.000000, 0.344366, 0.344366, nan, nan, 0.000000, 0.000000, 1.000000, 0.000000, 0.000000
0.100680, -0.077366, -0.113480, 0.000000, 0.000000, 0.344366, 0.344366, nan, nan, 0.000000, 0.000000, 1.000000, 0.000000, 0.000000
0.102680, -0.077366, -0.113480, 0.000000, 0.000000, 0.344366, 0.344366, nan, nan, 0.000000, 0.000000, 1.000000, 0.000000, 0.000000
0.104682, -0.077366, -0.113480, 0.000000, 0.000000, 0.344366, 0.344366, nan, nan, 0.000000, 0.000000, 1.000000, 0.000000, 0.000000
0.106680, -0.077366, -0.113480, 0.000000, 0.000000, 0.344366, 0.344366, nan, nan, 0.000000, 0.000000, 1.000000, 0.000000, 0.000000
0.108680, -0.077366, -0.113480, 0.000000, 0.000000, 0.344366, 0.344366, nan, nan, 0.000000, 0.000000, 1.000000, 0.000000, 0.000000
0.110681, -0.077366, -0.113480, 0.000000, 0.000000, 0.344366, 0.344366, nan, nan, 0.000000, 0.000000, 1.000000, 0.000000, 0.000000
0.112681, -0.077366, -0.113480, 0.000000, 0.000000, 0.000000, 1.033098, nan, nan, 0.000000, 0.000000, 1.000000, 0.000000, 0.000000
0.114681, -0.077366, -0.113480, 0.000000, 0.000000, 0.344366, 0.344366, nan, nan, 0.000000, 0.000000, 1.000000, 0.000000, 0.000000
0.116681, -0.077366, -0.113480, 0.000000, 0.000000, 0.344366, 0.344366, nan, nan, 0.000000, 0.000000, 1.000000, 0.000000, 0.000000
0.118681, -0.077366, -0.113480, 0.000000, 0.000000, 0.344366, 0.344366, nan, nan, 0.000000, 0.000000, 1.000000, 0.000000, 0.000000
0.120681, -0.077366, -0.113480, 0.000000, 0.000000, 0.344366, 0.344366, nan, nan, 0.000000, 0.000000, 1.000000, 0.000000, 0.000000
0.122681, -0.077366, -0.113480, 0.000000, 0.000000, 0.000000, 1.033098, nan, nan, 0.000000, 0.000000, 1.000000, 0.000000, 0.000000
0.124681, -0.077366, -0.113480, 0.000000, 0.000000, 0.344366, 0.344366, nan, nan, 0.000000, 0.000000, 1.000000, 0.000000, 0.000000
0.126682, -0.077366, -0.113480, 0.000000, 0.000000, 0.344366, 0.344366, nan, nan, 0.000000, 0.000000, 1.000000, 0.000000, 0.000000
0.128682, -0.077366, -0.113480, 0.000000, 0.000000, 0.344366, 1.033098, nan, nan, 0.000000, 0.000000, 1.000000, 0.000000, 0.000000
0.130682, -0.077366, -0.113480, 0.000000, 0.000000, 0.000000, 0.344366, nan, nan, 0.000000, 0.000000, 1.000000, 0.000000, 0.000000
0.132682, -0.077366, -0.113480, 0.000000, 0.000000, 0.000000, 0.344366, nan, nan, 0.000000, 0.000000, 1.000000, 0.000000, 0.000000
0.134682, -0.077366, -0.113480, 0.000000, 0.000000, 0.344366, 1.033098, nan, nan, 0.000000, 0.000000, 1.000000, 0.000000, 0.000000
0.136682, -0.077366, -0.113480, 0.000000, 0.000000, 0.000000, 0.344366, nan, nan, 0.000000, 0.000000, 1.000000, 0.000000, 0.000000
0.138685, -0.077366, -0.113480, 0.000000, 0.000000, 0.344366, 0.344366, nan, nan, 0.000000, 0.000000, 1.000000, 0.000000, 0.000000
0.140683, -0.077366, -0.113480, 0.000000, 0.000000, 0.344366, 0.344366, nan, nan, 0.000000, 0.000000, 1.000000, 0.000000, 0.000000
0.142683, -0.077366, -0.113480, 0.000000, 0.000000, 0.000000, 0.344366, nan, nan, 0.000000, 0.000000, 1.000000, 0.000000, 0.000000
0.144683, -0.077366, -0.113480, 0.000000, 0.000000, 0.344366, 0.344366, nan, nan, 0.000000, 0.000000, 1.000000, 0.000000, 0.000000
0.146683, -0.077366, -0.113480, 0.000000, 0.000000, 0.344366, 0.344366, nan, nan, 0.000000, 0.000000, 1.000000, 0.000000, 0.000000
0.148683, -0.077366, -0.113480, 0.000000, 0.000000, 0.344366, 1.033098, nan, nan, 0.000000, 0.000000, 1.000000, 0.000000, 0.000000
0.150684, -0.077366, -0.113480, 0.000000, 0.000000, 0.344366, 0.344366, nan, nan, 0.000000, 0.000000, 1.000000, 0.000000, 0.000000
0.152689, -0.077366, -0.113480, 0.000000, 0.000000, 0.344366, 0.344366, nan, nan, 0.000000, 0.000000, 1.000000, 0.000000, 0.000000
0.154685, -0.077366, -0.113480, 0.000000, 0.000000, 0.000000, 0.344366, nan, nan, 0.000000, 0.000000, 1.000000, 0.000000, 0.000000
0.156685, -0.077366, -0.113480, 0.000000, 0.000000, 0.344366, 0.344366, nan, nan, 0.000000, 0.000000, 1.000000, 0.000000, 0.000000
0.158685, -0.077366, -0.113480, 0.000000, 0.000000, 0.344366, 0.344366, nan, nan, 0.000000, 0.000000, 1.000000, 0.000000, 0.000000
0.160685, -0.077366, -0.113480, 0.000000, 0.000000, 0.000000, 0.344366, nan, nan, 0.000000, 0.000000, 1.000000, 0.000000, 0.000000
0.162686, -0.077366, -0.113480, 0.000000, 0.000000, 0.344366, 0.344366, nan, nan, 0.000000, 0.000000, 1.000000, 0.000000, 0.000000
0.164686, -0.077366, -0.113480, 0.000000, 0.000000, 0.344366, 0.344366, nan, nan, 0.000000, 0.000000, 1.000000, 0.000000, 0.000000
0.166686, -0.077366, -0.113480, 0.000000, 0.000000, 0.000000, 0.344366, nan, nan, 0.000000, 0.000000, 1.000000, 0.000000, 0.000000
0.168686, -0.077366, -0.113480, 0.000000, 0.000000, 0.344366, 0.344366, nan, nan, 0.000000, 0.000000, 1.000000, 0.000000, 0.000000
