trial,csv_line,D_file,W_file,ID_fitts_bits,ID_shannon_bits,x_home_m,x_target_m,tolerance_m,x_start_m,D_effective_m,outcome,success,rt_kinematic_s,mt_first_entry_s,mt_final_entry_s,mt_first_entry_kin_s,mt_final_entry_kin_s,task_time_s,n_entries,peak_speed_x_mps,t_peak_speed_x_s,overshoot_m,endpoint_error_m,y_max_dev_m,sat_fraction,dt_mean_ms,dt_max_ms,samples,wall_clock,note
1,2,8.000000,0.888889,4.169925,3.321928,0.400000,0.320000,0.004444,0.396507,0.076507,success,1,0.007951,0.257962,0.257962,0.250011,0.250011,1.258049,1,0.460375,0.145955,0.000000,-0.000492,0.003949,0.0874,2.000,2.030,629,2026-09-11T18:47:57.815,
2,3,12.000000,1.333333,4.169925,3.321928,0.400000,0.280000,0.006667,0.400390,0.120390,success,1,0.007994,0.308009,0.308009,0.300015,0.300015,1.308083,1,0.624751,0.198003,0.000000,-0.001373,0.003843,0.1284,2.000,2.026,654,2026-09-11T18:48:00.468,
3,4,27.000000,1.333333,5.339850,4.409391,0.400000,0.130000,0.006667,0.400489,0.270489,success,1,0.007993,0.460018,0.460018,0.452025,0.452025,1.460070,1,0.941079,0.340010,0.001077,0.000918,0.003768,0.2712,2.000,2.024,730,2026-09-11T18:48:03.576,
4,5,30.375000,1.000000,5.924813,4.971544,0.400000,0.096250,0.005000,0.399959,0.303709,success,1,0.005990,0.494018,0.494018,0.488028,0.488028,1.494073,1,0.994247,0.372011,0.001790,0.001537,0.003692,0.2918,2.000,2.020,747,2026-09-11T18:48:08.358,
5,6,8.000000,0.888889,4.169925,3.321928,0.400000,0.320000,0.004444,0.399974,0.079974,success,1,0.005990,0.262006,0.262006,0.256016,0.256016,1.262093,1,0.478309,0.139999,0.000137,0.000106,0.003639,0.0919,2.000,2.020,631,2026-09-11T18:48:13.519,
6,7,15.187500,0.500000,5.924813,4.971544,0.400000,0.248125,0.002500,0.400065,0.151940,success,1,0.005991,0.380011,0.380011,0.374020,0.374020,1.380073,1,0.719845,0.214002,0.000000,-0.000193,0.003628,0.1478,2.000,2.020,690,2026-09-11T18:48:16.193,
7,8,12.000000,0.888889,4.754887,3.857981,0.400000,0.280000,0.004444,0.400182,0.120182,success,1,0.007992,0.320009,0.320009,0.312017,0.312017,1.320071,1,0.629323,0.178001,0.000000,-0.001123,0.003613,0.1273,2.000,2.024,660,2026-09-11T18:48:19.709,
8,9,12.000000,2.000000,3.584963,2.807355,0.400000,0.280000,0.010000,0.399906,0.119906,success,1,0.005988,0.288007,0.288007,0.282019,0.282019,1.288068,1,0.625273,0.175998,0.000000,-0.000624,0.003597,0.1289,2.000,2.026,644,2026-09-11T18:48:22.831,
9,10,27.000000,1.333333,5.339850,4.409391,0.400000,0.130000,0.006667,0.400152,0.270152,success,1,0.005990,0.458060,0.458060,0.452070,0.452070,1.458127,1,0.946199,0.326044,0.000930,0.000661,0.003586,0.2634,2.000,2.022,729,2026-09-11T18:48:25.923,
10,11,8.000000,1.333333,3.584963,2.807355,0.400000,0.320000,0.006667,0.400398,0.080398,success,1,0.007994,0.246005,0.246005,0.238011,0.238011,1.246092,1,0.486432,0.145999,0.000000,-0.000431,0.003544,0.0947,2.000,2.031,623,2026-09-11T18:48:30.703,
