index,A,W,ID,alpha
1,8.0,0.888889,3.322,0.3765188878699423
2,12.0,1.333333,3.322,0.3765188878699423
3,27.0,1.333333,4.409,0.7285017705419669
4,30.375,1.0,4.972,0.8233298159064814
5,8.0,0.888889,3.322,0.3765188878699423
6,15.1875,0.5,4.972,0.8233298159064814
7,12.0,0.888889,3.858,0.5912206183241312
8,12.0,2.0,2.807,0.0
9,27.0,1.333333,4.409,0.7285017705419669
10,8.0,1.333333,2.807,0.0
11,18.0,2.0,3.322,0.3765188878699423
12,12.0,2.0,2.807,0.0
13,27.0,2.0,3.858,0.5912206183241312
14,15.1875,0.5,4.972,0.8233298159064814
15,15.0,2.5,2.807,0.0
16,8.0,1.333333,2.807,0.0
17,27.0,1.333333,4.409,0.7285017705419669
18,8.0,0.888889,3.322,0.3765188878699423
19,20.25,1.0,4.409,0.7285017705419669
20,8.0,1.333333,2.807,0.0
21,30.375,1.0,4.972,0.8233298159064814
22,18.0,1.333333,3.858,0.5912206183241312
23,27.0,0.888889,4.972,0.8233298159064814
24,15.0,2.5,2.807,0.0
25,18.0,0.888889,4.409,0.7285017705419669
26,27.0,2.0,3.858,0.5912206183241312
27,18.0,1.333333,3.858,0.5912206183241312
28,12.0,0.888889,3.858,0.5912206183241312
29,20.25,1.0,4.409,0.7285017705419669
30,12.0,0.888889,3.858,0.5912206183241312
31,18.0,2.0,3.322,0.3765188878699423
32,18.0,1.333333,3.858,0.5912206183241312
33,12.0,1.333333,3.322,0.3765188878699423
34,18.0,2.0,3.322,0.3765188878699423
35,12.0,1.333333,3.322,0.3765188878699423
36,27.0,2.0,3.858,0.5912206183241312
37,27.0,0.888889,4.972,0.8233298159064814
38,18.0,0.888889,4.409,0.7285017705419669
39,15.0,2.5,2.807,0.0
40,18.0,0.888889,4.409,0.7285017705419669
41,20.25,1.0,4.409,0.7285017705419669
42,15.1875,0.5,4.972,0.8233298159064814
43,27.0,0.888889,4.972,0.8233298159064814
44,12.0,2.0,2.807,0.0
45,30.375,1.0,4.972,0.8233298159064814
46,27.0,0.888889,4.972,0.8233298159064814
47,12.0,0.888889,3.858,0.5912206183241312
48,8.0,0.888889,3.322,0.3765188878699423
49,18.0,2.0,3.322,0.3765188878699423
50,27.0,2.0,3.858,0.5912206183241312
51,18.0,2.0,3.322,0.3765188878699423
52,12.0,1.333333,3.322,0.3765188878699423
53,8.0,1.333333,2.807,0.0
54,27.0,0.888889,4.972,0.8233298159064814
55,18.0,0.888889,4.409,0.7285017705419669
56,30.375,1.0,4.972,0.8233298159064814
57,15.1875,0.5,4.972,0.8233298159064814
58,12.0,0.888889,3.858,0.5912206183241312
59,27.0,1.333333,4.409,0.7285017705419669
60,15.0,2.5,2.807,0.0
61,12.0,1.333333,3.322,0.3765188878699423
62,12.0,2.0,2.807,0.0
63,15.0,2.5,2.807,0.0
64,27.0,1.333333,4.409,0.7285017705419669
65,18.0,0.888889,4.409,0.7285017705419669
66,18.0,1.333333,3.858,0.5912206183241312
67,30.375,1.0,4.972,0.8233298159064814
68,18.0,0.888889,4.409,0.7285017705419669
69,20.25,1.0,4.409,0.7285017705419669
70,30.375,1.0,4.972,0.8233298159064814
71,12.0,1.333333,3.322,0.3765188878699423
72,18.0,2.0,3.322,0.3765188878699423
73,8.0,1.333333,2.807,0.0
74,12.0,2.0,2.807,0.0
75,27.0,0.888889,4.972,0.8233298159064814
76,18.0,1.333333,3.858,0.5912206183241312
77,8.0,0.888889,3.322,0.3765188878699423
78,18.0,1.333333,3.858,0.5912206183241312
79,27.0,2.0,3.858,0.5912206183241312
80,15.0,2.5,2.807,0.0
81,27.0,1.333333,4.409,0.7285017705419669
82,12.0,0.888889,3.858,0.5912206183241312
83,27.0,2.0,3.858,0.5912206183241312
84,12.0,2.0,2.807,0.0
85,20.25,1.0,4.409,0.7285017705419669
86,15.1875,0.5,4.972,0.8233298159064814
87,20.25,1.0,4.409,0.7285017705419669
88,15.1875,0.5,4.972,0.8233298159064814
89,8.0,1.333333,2.807,0.0
90,8.0,0.888889,3.322,0.3765188878699423
91,15.1875,0.5,4.972,0.8233298159064814
92,18.0,0.888889,4.409,0.7285017705419669
93,15.0,2.5,2.807,0.0
94,20.25,1.0,4.409,0.7285017705419669
95,27.0,0.888889,4.972,0.8233298159064814
96,18.0,1.333333,3.858,0.5912206183241312
97,12.0,0.888889,3.858,0.5912206183241312
98,12.0,2.0,2.807,0.0
99,8.0,0.888889,3.322,0.3765188878699423
100,18.0,1.333333,3.858,0.5912206183241312
101,27.0,1.333333,4.409,0.7285017705419669
102,12.0,0.888889,3.858,0.5912206183241312
103,27.0,1.333333,4.409,0.7285017705419669
104,27.0,2.0,3.858,0.5912206183241312
105,20.25,1.0,4.409,0.7285017705419669
106,12.0,1.333333,3.322,0.3765188878699423
107,8.0,0.888889,3.322,0.3765188878699423
108,8.0,1.333333,2.807,0.0
109,27.0,2.0,3.858,0.5912206183241312
110,15.0,2.5,2.807,0.0
111,12.0,1.333333,3.322,0.3765188878699423
112,27.0,0.888889,4.972,0.8233298159064814
113,12.0,1.333333,3.322,0.3765188878699423
114,30.375,1.0,4.972,0.8233298159064814
115,18.0,2.0,3.322,0.3765188878699423
116,12.0,0.888889,3.858,0.5912206183241312
117,18.0,0.888889,4.409,0.7285017705419669
118,27.0,2.0,3.858,0.5912206183241312
119,20.25,1.0,4.409,0.7285017705419669
120,18.0,2.0,3.322,0.3765188878699423
121,8.0,0.888889,3.322,0.3765188878699423
122,18.0,2.0,3.322,0.3765188878699423
123,30.375,1.0,4.972,0.8233298159064814
124,27.0,0.888889,4.972,0.8233298159064814
125,18.0,1.333333,3.858,0.5912206183241312
126,15.1875,0.5,4.972,0.8233298159064814
127,12.0,2.0,2.807,0.0
128,18.0,0.888889,4.409,0.7285017705419669
129,8.0,1.333333,2.807,0.0
130,27.0,1.333333,4.409,0.7285017705419669
