index,A,W,ID
61,8.0,2.0,2.3219
62,8.0,1.333333,2.8074
63,8.0,2.0,2.3219
64,12.0,2.0,2.8074
65,27.0,2.0,3.858
66,27.0,0.888889,4.9715
67,27.0,1.333333,4.4094
68,27.0,0.888889,4.9715
69,18.0,1.333333,3.858
70,12.0,1.333333,3.3219
71,18.0,0.888889,4.4094
72,18.0,1.333333,3.858
73,12.0,0.888889,3.858
74,27.0,1.333333,4.4094
75,18.0,0.888889,4.4094
76,8.0,2.0,2.3219
77,12.0,1.333333,3.3219
78,18.0,0.888889,4.4094
79,12.0,0.888889,3.858
80,27.0,0.888889,4.9715
81,8.0,2.0,2.3219
82,12.0,2.0,2.8074
83,18.0,2.0,3.3219
84,27.0,0.888889,4.9715
85,12.0,2.0,2.8074
86,27.0,0.888889,4.9715
87,8.0,0.888889,3.3219
88,8.0,2.0,2.3219
89,18.0,2.0,3.3219
90,8.0,1.333333,2.8074
