index,A,W,ID
1,27.0,0.888889,4.9715
2,18.0,0.888889,4.4094
3,12.0,2.0,2.8074
4,12.0,1.333333,3.3219
5,8.0,2.0,2.3219
6,27.0,0.888889,4.9715
7,12.0,0.888889,3.858
8,27.0,2.0,3.858
9,27.0,0.888889,4.9715
10,8.0,1.333333,2.8074
11,8.0,2.0,2.3219
12,12.0,2.0,2.8074
13,8.0,0.888889,3.3219
14,27.0,1.333333,4.4094
15,8.0,2.0,2.3219
16,8.0,0.888889,3.3219
17,27.0,0.888889,4.9715
18,8.0,1.333333,2.8074
19,18.0,0.888889,4.4094
20,8.0,2.0,2.3219
21,27.0,0.888889,4.9715
22,27.0,2.0,3.858
23,18.0,1.333333,3.858
24,18.0,0.888889,4.4094
25,12.0,1.333333,3.3219
26,8.0,2.0,2.3219
27,12.0,0.888889,3.858
28,18.0,2.0,3.3219
29,27.0,1.333333,4.4094
30,12.0,2.0,2.8074
31,18.0,2.0,3.3219
32,27.0,0.888889,4.9715
33,18.0,1.333333,3.858
34,8.0,2.0,2.3219
35,18.0,2.0,3.3219
36,27.0,2.0,3.858
37,12.0,2.0,2.8074
38,12.0,0.888889,3.858
39,27.0,0.888889,4.9715
40,8.0,2.0,2.3219
41,18.0,1.333333,3.858
42,8.0,0.888889,3.3219
43,18.0,0.888889,4.4094
44,27.0,1.333333,4.4094
45,12.0,1.333333,3.3219
46,18.0,0.888889,4.4094
47,27.0,1.333333,4.4094
48,12.0,2.0,2.8074
49,27.0,0.888889,4.9715
50,8.0,1.333333,2.8074
51,27.0,2.0,3.858
52,8.0,2.0,2.3219
53,8.0,0.888889,3.3219
54,8.0,1.333333,2.8074
55,27.0,0.888889,4.9715
56,8.0,2.0,2.3219
57,27.0,0.888889,4.9715
58,8.0,2.0,2.3219
59,8.0,1.333333,2.8074
60,27.0,1.333333,4.4094
61,8.0,2.0,2.3219
62,8.0,1.333333,2.8074
63,8.0,2.0,2.3219
64,12.0,2.0,2.8074
65,27.0,2.0,3.858
66,27.0,0.888889,4.9715
67,27.0,1.333333,4.4094
68,27.0,0.888889,4.9715
69,18.0,1.333333,3.858
70,12.0,1.333333,3.3219
71,18.0,0.888889,4.4094
72,18.0,1.333333,3.858
73,12.0,0.888889,3.858
74,27.0,1.333333,4.4094
75,18.0,0.888889,4.4094
76,8.0,2.0,2.3219
77,12.0,1.333333,3.3219
78,18.0,0.888889,4.4094
79,12.0,0.888889,3.858
80,27.0,0.888889,4.9715
81,8.0,2.0,2.3219
82,12.0,2.0,2.8074
83,18.0,2.0,3.3219
84,27.0,0.888889,4.9715
85,12.0,2.0,2.8074
86,27.0,0.888889,4.9715
87,8.0,0.888889,3.3219
88,8.0,2.0,2.3219
89,18.0,2.0,3.3219
90,8.0,1.333333,2.8074
91,27.0,2.0,3.858
92,8.0,0.888889,3.3219
93,27.0,0.888889,4.9715
94,18.0,1.333333,3.858
95,8.0,2.0,2.3219
96,8.0,1.333333,2.8074
97,12.0,1.333333,3.3219
98,12.0,2.0,2.8074
99,12.0,0.888889,3.858
100,12.0,1.333333,3.3219
101,8.0,2.0,2.3219
102,18.0,0.888889,4.4094
103,27.0,0.888889,4.9715
104,8.0,0.888889,3.3219
105,12.0,0.888889,3.858
106,8.0,1.333333,2.8074
107,27.0,1.333333,4.4094
108,27.0,2.0,3.858
109,27.0,0.888889,4.9715
110,27.0,1.333333,4.4094
111,18.0,0.888889,4.4094
112,27.0,0.888889,4.9715
113,8.0,1.333333,2.8074
114,8.0,2.0,2.3219
115,27.0,0.888889,4.9715
116,8.0,2.0,2.3219
117,27.0,1.333333,4.4094
118,12.0,2.0,2.8074
119,8.0,2.0,2.3219
120,18.0,2.0,3.3219
121,8.0,1.333333,2.8074
122,27.0,0.888889,4.9715
123,12.0,2.0,2.8074
124,27.0,0.888889,4.9715
125,8.0,2.0,2.3219
126,18.0,0.888889,4.4094
127,27.0,2.0,3.858
128,8.0,2.0,2.3219
129,8.0,0.888889,3.3219
130,18.0,0.888889,4.4094
131,27.0,1.333333,4.4094
132,18.0,0.888889,4.4094
133,27.0,0.888889,4.9715
134,8.0,2.0,2.3219
135,27.0,0.888889,4.9715
136,18.0,2.0,3.3219
137,8.0,0.888889,3.3219
138,8.0,2.0,2.3219
139,27.0,1.333333,4.4094
140,18.0,2.0,3.3219
141,8.0,2.0,2.3219
142,12.0,1.333333,3.3219
143,12.0,2.0,2.8074
144,18.0,1.333333,3.858
145,27.0,2.0,3.858
146,27.0,0.888889,4.9715
147,8.0,1.333333,2.8074
148,18.0,1.333333,3.858
149,12.0,2.0,2.8074
150,12.0,0.888889,3.858
151,18.0,2.0,3.3219
152,27.0,0.888889,4.9715
153,8.0,2.0,2.3219
154,27.0,0.888889,4.9715
155,27.0,1.333333,4.4094
156,8.0,0.888889,3.3219
157,27.0,1.333333,4.4094
158,27.0,0.888889,4.9715
159,8.0,2.0,2.3219
160,12.0,1.333333,3.3219
161,18.0,0.888889,4.4094
162,8.0,1.333333,2.8074
163,8.0,2.0,2.3219
164,12.0,0.888889,3.858
165,8.0,1.333333,2.8074
166,12.0,1.333333,3.3219
167,12.0,0.888889,3.858
168,12.0,2.0,2.8074
169,18.0,1.333333,3.858
170,27.0,1.333333,4.4094
171,27.0,0.888889,4.9715
172,18.0,2.0,3.3219
173,8.0,1.333333,2.8074
174,8.0,2.0,2.3219
175,27.0,0.888889,4.9715
176,12.0,2.0,2.8074
177,18.0,0.888889,4.4094
178,27.0,2.0,3.858
179,8.0,2.0,2.3219
180,18.0,1.333333,3.858
